"","ADDRESS","BKCLASS","CBSA","CBSA_DIV","CBSA_DIV_FLG","CBSA_DIV_NO","CBSA_METRO","CBSA_METRO_FLG","CBSA_METRO_NAME","CBSA_MICRO_FLG","CBSA_NO","CERT","CITY","COUNTY","CSA","CSA_FLG","CSA_NO","ESTYMD","FI_UNINUM","MAINOFF","NAME","OFFNAME","OFFNUM","RUNDATE","SERVTYPE","STALP","STCNTY","STNAME","UNINUM","ZIP","bank_address","lon","lat"
"1","451 E Hungerford Drive Suite 101","N","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,7888,"Rockville","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"05/24/2011",5061,0,"First National Bank of Pennsylvania","ROCKVILLE BRANCH",389,"10/16/2020",11,"MD",24031,"Maryland",519697,20850,"451 E Hungerford Drive Suite 101 Rockville MD 20850",-77.1511228,39.0895039
"2","6701 Democracy Blvd., Suite 400","NM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,57614,"Bethesda","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"03/28/2008",418493,0,"Congressional Bank","ADMINISTRATIVE OFFICE",4,"10/16/2020",21,"MD",24031,"Maryland",492708,20817,"6701 Democracy Blvd., Suite 400 Bethesda MD 20817",-77.1368018,39.0224377
"3","4801-A Montgomery Lane","NM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,57614,"Bethesda","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"08/01/2004",418493,0,"Congressional Bank","BETHESDA BRANCH",7,"10/16/2020",11,"MD",24031,"Maryland",448881,20814,"4801-A Montgomery Lane Bethesda MD 20814",-77.0951621,38.9837868
"4","10113 River Road","N","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,57890,"Potomac","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"08/30/2010",429342,0,"HSBC Bank USA, National Association","RIVER ROAD BRANCH",578,"10/16/2020",11,"MD",24031,"Maryland",513391,20854,"10113 River Road Potomac MD 20854",-77.2080458,39.0181288
"5","14804 Pratt Street","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,47894,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,57968,"Upper Marlboro","Prince George'S","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"01/01/1931",432804,0,"SONABANK","UPPER MARLBORO BRANCH",24,"10/16/2020",11,"MD",24033,"Maryland",41803,20772,"14804 Pratt Street Upper Marlboro MD 20772",-76.7488589,38.8174062
"6","9801 Main Street","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,588,"Damascus","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"01/01/1929",400,0,"Manufacturers and Traders Trust Company","DAMASCUS BRANCH",1062,"10/16/2020",11,"MD",24031,"Maryland",270184,20872,"9801 Main Street Damascus MD 20872",-77.201959,39.2880271
"7","3706 Howard Avenue","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,588,"Kensington","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"12/31/2013",400,0,"Manufacturers and Traders Trust Company","ANTIQUE ROW DRIVE-IN BRANCH",1291,"10/16/2020",23,"MD",24031,"Maryland",557430,20895,"3706 Howard Avenue Kensington MD 20895",-77.0725889,39.026673
"8","19616-M Fisher Avenue","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,588,"Poolesville","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"07/23/1962",400,0,"Manufacturers and Traders Trust Company","POOLESVILLE BRANCH",661,"10/16/2020",11,"MD",24031,"Maryland",204209,20837,"19616-M Fisher Avenue Poolesville MD 20837",-77.4102565,39.1436989
"9","5 Bank Street","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,588,"Gaithersburg","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"11/02/1970",400,0,"Manufacturers and Traders Trust Company","DIAMOND FARMS BRANCH",676,"10/16/2020",11,"MD",24031,"Maryland",204228,20878,"5 Bank Street Gaithersburg MD 20878",-77.2224176,39.1397353
"10","12200 Tech Road","SM","Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,588,"Silver Spring","Montgomery","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,"01/19/1988",400,0,"Manufacturers and Traders Trust Company","TECH PARK BRANCH",740,"10/16/2020",11,"MD",24031,"Maryland",204316,20904,"12200 Tech Road Silver Spring MD 20904",-76.9679966,39.0565855
